group,attrs,packs,approx_groups_count,ml,number_entities,group_number_masked_product,material_type,optional_attrs,none_attrs,inferred_concentration,inferred_concentration_uom,inferred_packsize,inferred_packsize_uom,product,Item_Description,Item_Code,Secondary_Sales_UOM,Parent_Code,rowcd,percentage,mg,pack_size,misc,fraction,k,mg/ml,gm,liter,miu,pack_multiplier,mcg
permetron,,lotion,1,50.0,"{'#': {'string': '50ml', 'type': 'measurement', 'number_string': (None, '50.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> lotion <v>#<v> ,liquid,,,,,50.0,ml,PERMETRON LOTION 50ML,PERMETRON LOTION 50ML,ARJT01,,ARJT01,2022-09-07 18:28:30,,,,,,,,,,,,
electrokem,flavour orange tangy other grp,,1,200.0,"{'#': {'string': '200ml', 'type': 'measurement', 'number_string': (None, '200.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> tangy orange flavour <v>#<v> other grp ,liquid,,,,,200.0,ml,ELECTROKEM (TANGY ORANGE FLAVOUR) 200ML OTHER GRP,ELECTROKEM (TANGY ORANGE FLAVOUR) 200ML OTHER GRP,ARUJ02,,ARUJ02,2022-09-07 18:28:30,,,,,,,,,,,,
entisep,strong,,1,5000.0,"{'#': {'string': '5000 ml', 'type': 'measurement', 'number_string': (None, '5000.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> strong <v>#<v> ,liquid,,,,,5000.0,ml,ENTISEP STRONG (5000ML),ENTISEP STRONG (5000ML),AS2221,,AS2221,2022-09-07 18:28:30,,,,,,,,,,,,
bodygard,,gel,1,,"{'#': {'string': '30 gm', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> gel <v>#<v> ,solid,,,,,30.0,gm,BODYGARD GEL (30 GM),BODYGARD GEL (30 GM),AS8001,,AS8001,2022-09-07 18:28:30,,,,,,,,30.0,,,,
alscab,soaps soap,,1,,"{'#': {'string': '75 g', 'type': 'measurement', 'number_string': (None, '75.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>'], 'after': ['<attr>']}}}", <group> soap <v>#<v> soaps ,,,,75.0,gm,,,ALSCAB SOAP (75G) SOAPS,ALSCAB SOAP (75G) SOAPS,ASCF11,,ASCF11,2022-09-07 18:28:30,,,,,,,,75.0,,,,
powerflam,plus,gel,1,,"{'#': {'string': '30 gm', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> plus gel <v>#<v> ,solid,,,,,30.0,gm,POWERFLAM PLUS GEL  (30GM),POWERFLAM PLUS GEL  (30GM),ASEB01,,ASEB01,2022-09-07 18:28:30,,,,,,,,30.0,,,,
povikem,,,1,100.0,"{'#': {'string': '100ml', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> solution <v>#<v> liquid ,liquid,,,,,100.0,ml,POVIKEM SOLUTION 100ML LIQUID,POVIKEM SOLUTION 100ML LIQUID,ASFR01,,ASFR01,2022-09-07 18:28:30,,,,,,,,,,,,
povikem,,,1,500.0,"{'#': {'string': '500ml', 'type': 'measurement', 'number_string': (None, '500.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> solution <v>#<v> liquid ,liquid,,,,,500.0,ml,POVIKEM SOLUTION 500ML LIQUID,POVIKEM SOLUTION 500ML LIQUID,ASFR02,,ASFR02,2022-09-07 18:28:30,,,,,,,,,,,,
povikem,,,1,2000.0,"{'#': {'string': '2000 ml', 'type': 'measurement', 'number_string': (None, '2000.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> solution <v>#<v> liquid ,liquid,,,,,2000.0,ml,POVIKEM SOLUTION (2000ML) LIQUID,POVIKEM SOLUTION (2000ML) LIQUID,ASFR03,,ASFR03,2022-09-07 18:28:30,,,,,,,,,,,,
povikem,onitment,,1,,"{'#': {'string': '20 gm', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>']}}}", <group> onitment <v>#<v> liquid ,liquid,,,20.0,gm,,,POVIKEM ONITMENT (20GM) LIQUID,POVIKEM ONITMENT (20GM) LIQUID,ASFR11,,ASFR11,2022-09-07 18:28:30,,,,,,,,20.0,,,,
povikem,onitment,,1,,"{'#': {'string': '10 gm', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>']}}}", <group> onitment <v>#<v> liquid ,liquid,,,10.0,gm,,,POVIKEM ONITMENT (10GM) LIQUID,POVIKEM ONITMENT (10GM) LIQUID,ASFR12,,ASFR12,2022-09-07 18:28:30,,,,,,,,10.0,,,,
ketokem,soaps soap,,1,,"{'#': {'string': '75 g', 'type': 'measurement', 'number_string': (None, '75.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>'], 'after': ['<attr>']}}}", <group> soap <v>#<v> soaps ,,,,75.0,gm,,,KETOKEM SOAP (75G) SOAPS,KETOKEM SOAP (75G) SOAPS,ASFY21,,ASFY21,2022-09-07 18:28:30,,,,,,,,75.0,,,,
orogard,,ointment,1,,"{'#': {'string': '10gm', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}", <group> sg ointment <v>#<v> ,solid,softgel,,,,10.0,gm,OROGARD SG OINTMENT 10GM,OROGARD SG OINTMENT 10GM,ASGB01,,ASGB01,2022-09-07 18:28:30,,,,,,,,10.0,,,,
orogard,,gel,1,,"{'#': {'string': '50gm', 'type': 'measurement', 'number_string': (None, '50.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> gel <v>#<v> ,solid,,,,,50.0,gm,OROGARD GEL 50GM,OROGARD GEL 50GM,ASGB11,,ASGB11,2022-09-07 18:28:30,,,,,,,,50.0,,,,
dermikem,,cream,1,,"{'#': {'string': '10 g', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '4', 'type': 'int', 'number_string': ('4.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> cream <v>#<v> ,solid,,,4.0,,10.0,gm,DERMIKEM 4 CREAM (10G),DERMIKEM 4 CREAM (10G),ASHF11,,ASHF11,2022-09-07 18:28:30,,,,4.0,,,,10.0,,,,
tetmakem,soaps soap,,1,,"{'#': {'string': '75 g', 'type': 'measurement', 'number_string': (None, '75.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>'], 'after': ['<attr>']}}}", <group> soap <v>#<v> soaps ,,,,75.0,gm,,,TETMAKEM SOAP (75G) SOAPS,TETMAKEM SOAP (75G) SOAPS,ASHI01,,ASHI01,2022-09-07 18:28:30,,,,,,,,75.0,,,,
clindakema,a,ointment,0,,"{'#': {'string': '20gm', 'type': 'measurement', 'number_string': (None, '20.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<pack>'], 'after': []}}}",  <group>  a ointment <v>#<v> ,solid,,,,,20.0,gm,CLINDAKEM-A OINTMENT 20GM,CLINDAKEM-A OINTMENT 20GM,ASHR01,,ASHR01,2022-09-07 18:28:30,,,,,,,,20.0,,,,
feetglo,,cream,1,,"{'#': {'string': '25gm', 'type': 'measurement', 'number_string': (None, '25.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<pack>'], 'after': []}}}", <group> cream <v>#<v> ,solid,,,,,25.0,gm,FEETGLO CREAM 25GM,FEETGLO CREAM 25GM,ASHT01,,ASHT01,2022-09-07 18:28:30,,,,,,,,25.0,,,,
naturals,turmeric alkem tulsi neem soap,,1,,{}, alkem <group> neem tulsi turmeric soap ,,,,,,,,ALKEM NATURALS NEEM TULSI TURMERIC SOAP,ALKEM NATURALS NEEM TULSI TURMERIC SOAP,ASHX01,,ASHX01,2022-09-07 18:28:30,,,,,,,,,,,,
kinder,gripe water,syrup,1,150.0,"{'#': {'string': '150 ml', 'type': 'measurement', 'number_string': (None, '150.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> gripe water <v>#<v> dry syrup ,liquid,dry,,,,150.0,ml,KINDER GRIPE WATER (150ML) DRY SYRUP,KINDER GRIPE WATER (150ML) DRY SYRUP,ASIF21,,ASIF21,2022-09-07 18:28:30,,,,,,,,,,,,
ketokem,,shampoo,1,110.0,"{'#': {'string': '110 ml', 'type': 'measurement', 'number_string': (None, '110.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", new <group> shampoo <v>#<v> ,liquid,new,,,,110.0,ml,NEW KETOKEM SHAMPOO (110ML),NEW KETOKEM SHAMPOO (110ML),ASIJ21,,ASIJ21,2022-09-07 18:28:30,,,,,,,,,,,,
,clear skin,cream,0,,"{'#': {'string': '15 g', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<attr>', '<attr>', '<pack>'], 'after': []}}}", clear skin cream <v>#<v> ,solid,,,,,15.0,gm,CLEAR SKIN CREAM (15G),CLEAR SKIN CREAM (15G),ASIM01,,ASIM01,2022-09-07 18:28:30,,,,,,,,15.0,,,,
spasmokem,nf g,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> g nf tablet <v>#<v> ,solid,,,,,10.0,pack_size,SPASMOKEM-G NF Tablet (10'S),SPASMOKEM-G NF Tablet (10'S),AT1731,,AT1731,2022-09-07 18:28:30,,,10.0,,,,,,,,,
zedonac,white pvc,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> white pvc tablet <v>#<v> ,solid,,,,,10.0,pack_size,ZEDONAC (WHITE PVC) Tablet (10'S),ZEDONAC (WHITE PVC) Tablet (10'S),AT1806,,AT1806,2022-09-07 18:28:30,,,10.0,,,,,,,,,
zedonac,novo mr,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> mr novo <v>#<v> tablet ,solid,,,,,10.0,pack_size,ZEDONAC MR NOVO (10S) TABLET,ZEDONAC MR NOVO (10S) TABLET,AT1821,,AT1821,2022-09-07 18:28:30,,,10.0,,,,,,,,,
zuka,cold min nf,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> min cold nf tablet <v>#<v> ,solid,,,,,10.0,pack_size,ZUKAMIN COLD-NF Tablet (10'S),ZUKAMIN COLD-NF Tablet (10'S),AT2431,,AT2431,2022-09-07 18:28:30,,,10.0,,,,,,,,,
zuka,cold plus min,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<attr>', '<attr>', '<pack>'], 'after': []}}, '##': {'string': '+', 'type': 'symbols', 'number_string': ('+',), 'context': {'before': ['<group>', '<attr>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> min cold  <v>##<v>  tablet <v>#<v> ,solid,,,+,,10.0,pack_size,ZUKAMIN COLD+ Tablet (10'S),ZUKAMIN COLD+ Tablet (10'S),AT2441,,AT2441,2022-09-07 18:28:30,,,10.0,+,,,,,,,,
rafilon,,tablet,1,,"{'#': {'string': '30 s', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> tablet <v>#<v> ,solid,,,,,30.0,pack_size,RAFILON Tablet (30'S),RAFILON Tablet (30'S),AT3902,,AT3902,2022-09-07 18:28:30,,,30.0,,,,,,,,,
pyrakem,,tablet,1,,"{'#': {'string': '650mg', 'type': 'measurement', 'number_string': (None, '650.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,650.0,mg,10.0,pack_size,PYRAKEM 650MG Tablet (10'S),PYRAKEM 650MG Tablet (10'S),AT5502,,AT5502,2022-09-07 18:28:30,,650.0,10.0,,,,,,,,,
pyrakem,,tablet,1,,"{'#': {'string': '500mg', 'type': 'measurement', 'number_string': (None, '500.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,500.0,mg,15.0,pack_size,PYRAKEM 500MG Tablet (15'S),PYRAKEM 500MG Tablet (15'S),AT5517,,AT5517,2022-09-07 18:28:30,,500.0,15.0,,,,,,,,,
pyrakem,,tablet,1,,"{'#': {'string': '500mg', 'type': 'measurement', 'number_string': (None, '500.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,500.0,mg,10.0,pack_size,PYRAKEM 500MG Tablet (10'S),PYRAKEM 500MG Tablet (10'S),AT5518,,AT5518,2022-09-07 18:28:30,,500.0,10.0,,,,,,,,,
alcid,chewtabs flavour orange,tablet,1,,"{'#': {'string': '12 s', 'type': 'measurement', 'number_string': (None, '12.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> chewtabs orange flavour <v>#<v> tablet ,solid,,,,,12.0,pack_size,ALCID CHEWTABS (ORANGE FLAVOUR) (12'S) TABLET,ALCID CHEWTABS (ORANGE FLAVOUR) (12'S) TABLET,AT5901,,AT5901,2022-09-07 18:28:30,,,12.0,,,,,,,,,
alcid,chewtabs flavour mint,tablet,1,,"{'#': {'string': '12 s', 'type': 'measurement', 'number_string': (None, '12.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> chewtabs mint flavour <v>#<v> tablet ,solid,,,,,12.0,pack_size,ALCID CHEWTABS (MINT FLAVOUR) (12'S) TABLET,ALCID CHEWTABS (MINT FLAVOUR) (12'S) TABLET,AT5911,,AT5911,2022-09-07 18:28:30,,,12.0,,,,,,,,,
oflokem,novo oz,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> oz novo tablet <v>#<v> ,solid,,,,,10.0,pack_size,OFLOKEM OZ NOVO Tablet  (10S),OFLOKEM OZ NOVO Tablet  (10S),AT9151,,AT9151,2022-09-07 18:28:30,,,10.0,,,,,,,,,
zenegra,red,tablet,1,,"{'#': {'string': '100mg', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '4 s', 'type': 'measurement', 'number_string': (None, '4.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> red <v>#<v> tablet <v>##<v> ,solid,,,100.0,mg,4.0,pack_size,ZENEGRA RED 100MG Tablet (4'S),ZENEGRA RED 100MG Tablet (4'S),ATAF33,,ATAF33,2022-09-07 18:28:30,,100.0,4.0,,,,,,,,,
aldigesic,forte sp,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> sp forte tablet <v>#<v> ,solid,,,,,10.0,pack_size,ALDIGESIC - SP FORTE Tablet (10'S),ALDIGESIC - SP FORTE Tablet (10'S),ATAL42,,ATAL42,2022-09-07 18:28:30,,,10.0,,,,,,,,,
alsera,d,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> d <v>#<v> tablet ,solid,,,,,10.0,pack_size,ALSERA D 10'S TABLET,ALSERA D 10'S TABLET,ATAV02,,ATAV02,2022-09-07 18:28:30,,,10.0,,,,,,,,,
qmax,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '200', 'type': 'int', 'number_string': ('200.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,200.0,,10.0,pack_size,QMAX 200 Tablet (10S),QMAX 200 Tablet (10S),ATDD01,,ATDD01,2022-09-07 18:28:30,,,10.0,200.0,,,,,,,,
qmax,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>', '<attr>', '<attr>'], 'after': []}}, '##': {'string': '200', 'type': 'int', 'number_string': ('200.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<attr>', '<attr>', '<v>#<v>']}}}", <group> <v>##<v> tab alu alu <v>#<v> ,solid,,alu alu,200.0,,10.0,pack_size,QMAX 200 TAB (ALU-ALU) (10'S),QMAX 200 TAB (ALU-ALU) (10'S),ATDD03,,ATDD03,2022-09-07 18:28:30,,,10.0,200.0,,,,,,,,
qmax,oz,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> oz tablet <v>#<v> ,solid,,,,,10.0,pack_size,QMAX OZ Tablet  (10'S),QMAX OZ Tablet  (10'S),ATDD11,,ATDD11,2022-09-07 18:28:30,,,10.0,,,,,,,,,
pyricool,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '500', 'type': 'int', 'number_string': ('500.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,500.0,,15.0,pack_size,PYRICOOL-500 Tablet  (15S),PYRICOOL-500 Tablet  (15S),ATDH02,,ATDH02,2022-09-07 18:28:30,,,15.0,500.0,,,,,,,,
pyricool,,tablet,1,,"{'#': {'string': '650mg', 'type': 'measurement', 'number_string': (None, '650.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> tablet <v>##<v> ,solid,,,650.0,mg,10.0,pack_size,PYRICOOL 650MG Tablet (10'S),PYRICOOL 650MG Tablet (10'S),ATDH12,,ATDH12,2022-09-07 18:28:30,,650.0,10.0,,,,,,,,,
pyricool,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '650', 'type': 'int', 'number_string': ('650.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,650.0,,15.0,pack_size,PYRICOOL 650 Tablet (15'S),PYRICOOL 650 Tablet (15'S),ATDH13,,ATDH13,2022-09-07 18:28:30,,,15.0,650.0,,,,,,,,
throx,,tablet,1,,"{'#': {'string': '150mg', 'type': 'measurement', 'number_string': (None, '150.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> tablet <v>#<v>  <v>##<v> ,solid,,,150.0,mg,10.0,pack_size,THROX Tablet 150MG (10'S),THROX Tablet 150MG (10'S),ATDO02,,ATDO02,2022-09-07 18:28:30,,150.0,10.0,,,,,,,,,
powerflam,white pvc xp,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> xp tabs white pvc <v>#<v> ,solid,,,,,10.0,pack_size,POWERFLAM-XP TABS (WHITE PVC) (10'S),POWERFLAM-XP TABS (WHITE PVC) (10'S),ATEB04,,ATEB04,2022-09-07 18:28:30,,,10.0,,,,,,,,,
powerflam,brown pvc xp,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> xp tabs brown pvc <v>#<v> ,solid,,,,,10.0,pack_size,POWERFLAM-XP TABS (BROWN PVC) (10'S),POWERFLAM-XP TABS (BROWN PVC) (10'S),ATEB05,,ATEB05,2022-09-07 18:28:30,,,10.0,,,,,,,,,
aceloflam,plus,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> plus tablet <v>#<v> ,solid,,,,,10.0,pack_size,ACELOFLAM PLUS Tablet (10'S),ACELOFLAM PLUS Tablet (10'S),ATEF12,,ATEF12,2022-09-07 18:28:30,,,10.0,,,,,,,,,
aceloflam,mr,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> mr <v>#<v> tablet ,solid,,,,,10.0,pack_size,ACELOFLAM MR (10'S) TABLET,ACELOFLAM MR (10'S) TABLET,ATEF21,,ATEF21,2022-09-07 18:28:30,,,10.0,,,,,,,,,
aceloflam,sp,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> sp <v>#<v> tablet ,solid,,,,,10.0,pack_size,ACELOFLAM SP (10'S) TABLET,ACELOFLAM SP (10'S) TABLET,ATEF31,,ATEF31,2022-09-07 18:28:30,,,10.0,,,,,,,,,
aceloflam,xp,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> xp tablet <v>#<v> ,solid,,,,,15.0,pack_size,ACELOFLAM XP  Tablet (15'S),ACELOFLAM XP  Tablet (15'S),ATEF41,,ATEF41,2022-09-07 18:28:30,,,15.0,,,,,,,,,
aceloflam,plus,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> plus tabs alu alu <v>#<v> ,solid,,alu alu,,,10.0,pack_size,ACELOFLAM PLUS TABS (ALU-ALU) (10'S),ACELOFLAM PLUS TABS (ALU-ALU) (10'S),ATEF51,,ATEF51,2022-09-07 18:28:30,,,10.0,,,,,,,,,
aceloflam,plus,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> plus tablet <v>#<v> ,solid,,,,,15.0,pack_size,ACELOFLAM PLUS Tablet (15'S),ACELOFLAM PLUS Tablet (15'S),ATEF52,,ATEF52,2022-09-07 18:28:30,,,15.0,,,,,,,,,
moxikem,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<attr>'], 'after': ['<pack>']}}, '##': {'string': '125', 'type': 'int', 'number_string': ('125.0',), 'context': {'before': ['<group>'], 'after': ['<attr>', '<v>#<v>', '<pack>']}}}", <group> <v>##<v> dt <v>#<v> tablet ,solid,dt,,125.0,,10.0,pack_size,MOXIKEM 125 DT  (10S) TABLET,MOXIKEM 125 DT  (10S) TABLET,ATEM01,,ATEM01,2022-09-07 18:28:30,,,10.0,125.0,,,,,,,,
moxikem,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<attr>'], 'after': ['<pack>']}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<attr>', '<v>#<v>', '<pack>']}}}", <group> <v>##<v> dt <v>#<v> tablet ,solid,dt,,250.0,,10.0,pack_size,MOXIKEM 250 DT  (10S) TABLET,MOXIKEM 250 DT  (10S) TABLET,ATEM11,,ATEM11,2022-09-07 18:28:30,,,10.0,250.0,,,,,,,,
alciflox,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<attr>', '<attr>', '<pack>'], 'after': []}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<attr>', '<attr>', '<pack>', '<v>#<v>']}}}", <group> <v>##<v> alu alu tablet <v>#<v> ,solid,,alu alu,250.0,,10.0,pack_size,ALCIFLOX 250 ALU-ALU Tablet (10'S),ALCIFLOX 250 ALU-ALU Tablet (10'S),ATEW02,,ATEW02,2022-09-07 18:28:30,,,10.0,250.0,,,,,,,,
alciflox,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<attr>', '<attr>'], 'after': ['<pack>']}}, '##': {'string': '500', 'type': 'int', 'number_string': ('500.0',), 'context': {'before': ['<group>'], 'after': ['<attr>', '<attr>', '<v>#<v>', '<pack>']}}}", <group> <v>##<v> alu alu <v>#<v> tablet ,solid,,alu alu,500.0,,10.0,pack_size,ALCIFLOX 500 ALU ALU (10'S) Tablet,ALCIFLOX 500 ALU ALU (10'S) Tablet,ATEW12,,ATEW12,2022-09-07 18:28:30,,,10.0,500.0,,,,,,,,
zithrokem,,tablet,1,,"{'#': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<pack>']}}}", <group> <v>#<v> tablet ,solid,,,250.0,,,,ZITHROKEM 250 Tablet,ZITHROKEM 250 Tablet,ATFJ02,,ATFJ02,2022-09-07 18:28:30,,,,250.0,,,,,,,,
